gene	peak	max_abs_Z_RNA	max_abs_Z_ATAC	PPA_3	h2cis_RNA	h2cis_se_RNA	h2cis_p_RNA	h2cis_ATAC	h2cis_se_ATAC	h2cis_p_ATAC	oe_lof_upper	loeuf_quintile	peak_pos	gene_pos	peak_distance	peak_distance_quintile	start_atac	end_atac
P2RY1	ATAC_chr3_152503900_152507169	8.76451	11.605	0.999961	0.21737	0.05006	0	0.58201	0.08686	0	0.597	2	152505534	152835130	329596	5	152503900	152507169
P2RY1	ATAC_chr3_152507488_152508481	8.76451	10.2387	0.999961	0.21737	0.05006	0	0.70781	0.07789	0	0.597	2	152507984	152835130	327146	5	152507488	152508481
P2RY1	ATAC_chr3_152511716_152513248	8.76451	11.2923	0.999918	0.21737	0.05006	0	0.71211	0.07098	0	0.597	2	152512481	152835130	322649	5	152511716	152513248
P2RY1	ATAC_chr3_152513368_152513830	8.76451	9.79711	0.999864	0.21737	0.05006	0	0.63626	0.07687	0	0.597	2	152513599	152835130	321531	5	152513368	152513830
P2RY1	ATAC_chr3_152520450_152521119	8.76451	5.84575	0.999828	0.21737	0.05006	0	0.37453	0.11493	0.00131	0.597	2	152520784	152835130	314346	5	152520450	152521119
P2RY1	ATAC_chr3_152522624_152522965	8.76451	5.24167	0.999791	0.21737	0.05006	0	0.22428	0.11164	0.0569	0.597	2	152522794	152835130	312336	5	152522624	152522965
P2RY1	ATAC_chr3_152524269_152524806	8.76451	5.18476	0.999795	0.21737	0.05006	0	0.26381	0.11392	0.02839	0.597	2	152524537	152835130	310593	5	152524269	152524806
PLCH1	ATAC_chr3_155711456_155712610	5.68697	4.64901	0.995385	0.1193	0.04432	0	0.23567	0.10249	0.00139	0.338	1	155712033	155745070	33037	3	155711456	155712610
GMPS	ATAC_chr3_155958661_155959143	6.42332	7.20662	0.999092	0.11609	0.04041	4.00E-05	0.43543	0.10688	0.0002	0.244	1	155958901	155870649	88252	4	155958661	155959143
RSRC1	ATAC_chr3_158419214_158420635	7.25848	5.03146	0.996961	0.18403	0.05164	0	0.24021	0.10631	0.00251	0.836	3	158419924	158105854	314070	5	158419214	158420635
MFSD1	ATAC_chr3_158731422_158733186	5.60502	4.87422	0.999437	0.09991	0.03521	9.00E-05	0.32965	0.11423	0.00138	1.249	4	158732303	158732197	106	1	158731422	158733186
B3GALNT1	ATAC_chr3_161104208_161106168	8.69528	4.05891	0.999475	0.26636	0.07074	0	0.2662	0.10668	0.00213	0.999	4	161105187	161105410	223	1	161104208	161106168
GOLIM4	ATAC_chr3_168134676_168135656	4.21476	6.05613	0.999646	0.05823	0.02747	0.00879	0.22945	0.07844	0.00158	0.731	3	168135165	168095923	39242	3	168134676	168135656
RPL22L1	ATAC_chr3_170862578_170863565	4.98918	6.65085	0.999084	0.0897	0.02985	2.00E-05	0.73807	0.06476	0	1.561	5	170863071	170870207	7136	2	170862578	170863565
SPATA16	ATAC_chr3_172953285_172954739	11.9743	8.70242	1	0.29022	0.05332	0	0.39359	0.14727	0.0083	1.062	4	172954011	173141234	187223	5	172953285	172954739
ZNF639	ATAC_chr3_179438178_179439683	3.4523	4.63365	0.997534	0.0363	0.02362	0.07982	0.2733	0.10323	0.0072	0.86	3	179438930	179323030	115900	5	179438178	179439683
C3orf70	ATAC_chr3_185063147_185063752	9.55587	10.5015	0.999434	0.19408	0.04323	0	0.57576	0.08207	0	1.593	5	185063449	185153059	89610	4	185063147	185063752
LIPH	ATAC_chr3_185546611_185547903	6.08669	4.97767	0.999995	0.32094	0.07405	1.00E-05	0.5738	0.09891	0.00025	1.209	4	185547257	185552587	5330	1	185546611	185547903
CLDN16	ATAC_chr3_190289963_190290311	11.4338	5.01123	0.999795	0.27986	0.04487	0	0.20637	0.10297	0.03551	0.757	3	190290137	190322540	32403	3	190289963	190290311
CCDC50	ATAC_chr3_191344707_191345814	5.09588	4.7965	0.998508	0.0695	0.02799	0.0029	0.21323	0.11517	0.03233	0.744	3	191345260	191329084	16176	2	191344707	191345814
CCDC50	ATAC_chr3_191347779_191349243	5.07988	17.8604	0.998783	0.0695	0.02799	0.0029	0.79588	0.04879	0	0.744	3	191348511	191329084	19427	2	191347779	191349243
CCDC50	ATAC_chr3_191350143_191350990	5.07988	13.1921	0.998804	0.0695	0.02799	0.0029	0.67255	0.07394	0	0.744	3	191350566	191329084	21482	2	191350143	191350990
CCDC50	ATAC_chr3_191351674_191352453	5.07988	14.2495	0.998809	0.0695	0.02799	0.0029	0.67604	0.06299	0	0.744	3	191352063	191329084	22979	2	191351674	191352453
CCDC50	ATAC_chr3_191352904_191354286	5.07988	17.082	0.998835	0.0695	0.02799	0.0029	0.82588	0.04698	0	0.744	3	191353595	191329084	24511	3	191352904	191354286
CCDC50	ATAC_chr3_191361306_191362941	5.07988	6.39304	0.994037	0.0695	0.02799	0.0029	0.32751	0.08529	0.0001	0.744	3	191362123	191329084	33039	3	191361306	191362941
OSTN	ATAC_chr3_191344707_191345814	3.93163	4.7965	0.996352	0.04117	0.02259	0.0371	0.21323	0.11517	0.03233	1.745	5	191345260	191199240	146020	5	191344707	191345814
OSTN	ATAC_chr3_191347779_191349243	3.93163	17.8604	0.995941	0.04117	0.02259	0.0371	0.79588	0.04879	0	1.745	5	191348511	191199240	149271	5	191347779	191349243
OSTN	ATAC_chr3_191350143_191350990	3.93163	13.1921	0.995994	0.04117	0.02259	0.0371	0.67255	0.07394	0	1.745	5	191350566	191199240	151326	5	191350143	191350990
OSTN	ATAC_chr3_191351674_191352453	3.93163	14.2495	0.996036	0.04117	0.02259	0.0371	0.67604	0.06299	0	1.745	5	191352063	191199240	152823	5	191351674	191352453
OSTN	ATAC_chr3_191352904_191354286	3.93163	17.082	0.996166	0.04117	0.02259	0.0371	0.82588	0.04698	0	1.745	5	191353595	191199240	154355	5	191352904	191354286
OSTN	ATAC_chr3_191361306_191362941	3.93163	6.39304	0.996823	0.04117	0.02259	0.0371	0.32751	0.08529	0.0001	1.745	5	191362123	191199240	162883	5	191361306	191362941
MB21D2	ATAC_chr3_192802894_192803815	25.875	6.44195	0.999796	0.75427	0.03104	0	0.28655	0.09427	0.00185	0.687	2	192803354	192917855	114501	5	192802894	192803815
MB21D2	ATAC_chr3_192806057_192806473	24.6268	4.82544	0.999868	0.75427	0.03104	0	0.07781	0.08457	0.2193	0.687	2	192806265	192917855	111590	5	192806057	192806473
MB21D2	ATAC_chr3_192808072_192809186	24.6268	6.02479	0.999742	0.75427	0.03104	0	0.18708	0.09217	0.02461	0.687	2	192808629	192917855	109226	4	192808072	192809186
MB21D2	ATAC_chr3_192810965_192811516	24.6268	5.80154	0.999887	0.75427	0.03104	0	0.34198	0.12513	0.0086	0.687	2	192811240	192917855	106615	4	192810965	192811516
MB21D2	ATAC_chr3_192812159_192813225	24.6268	9.28125	0.999911	0.75427	0.03104	0	0.75623	0.08118	0	0.687	2	192812691	192917855	105164	4	192812159	192813225
MB21D2	ATAC_chr3_192816254_192820354	24.6268	13.7365	0.999911	0.75427	0.03104	0	0.67302	0.08394	0	0.687	2	192818303	192917855	99552	4	192816254	192820354
MB21D2	ATAC_chr3_192822254_192822795	24.6268	6.89456	0.99994	0.75427	0.03104	0	0.40589	0.12111	0.0008	0.687	2	192822524	192917855	95331	4	192822254	192822795
MB21D2	ATAC_chr3_192825547_192826394	24.6268	9.07762	0.999972	0.75427	0.03104	0	0.51578	0.12576	0.00056	0.687	2	192825970	192917855	91885	4	192825547	192826394
MB21D2	ATAC_chr3_192827350_192827812	22.6603	6.38996	0.999999	0.75427	0.03104	0	0.59246	0.09079	0	0.687	2	192827581	192917855	90274	4	192827350	192827812
MB21D2	ATAC_chr3_192830212_192832197	7.81195	4.43103	0.997477	0.75427	0.03104	0	0.35217	0.09209	0.00035	0.687	2	192831204	192917855	86651	4	192830212	192832197
MB21D2	ATAC_chr3_192833545_192834276	7.81195	3.33498	0.990977	0.75427	0.03104	0	0.30651	0.11813	0.00847	0.687	2	192833910	192917855	83945	4	192833545	192834276
MB21D2	ATAC_chr3_192835778_192838571	7.81195	5.00406	0.992716	0.75427	0.03104	0	0.50127	0.096	1.00E-05	0.687	2	192837174	192917855	80681	4	192835778	192838571
MB21D2	ATAC_chr3_192839790_192842341	7.81195	4.82742	0.992208	0.75427	0.03104	0	0.543	0.09006	0	0.687	2	192841065	192917855	76790	4	192839790	192842341
MB21D2	ATAC_chr3_192842896_192845987	7.81195	4.91074	0.99463	0.75427	0.03104	0	0.5739	0.08569	0	0.687	2	192844441	192917855	73414	4	192842896	192845987
MB21D2	ATAC_chr3_192846477_192847243	7.81195	4.00077	0.995154	0.75427	0.03104	0	0.62255	0.1031	6.00E-05	0.687	2	192846859	192917855	70996	4	192846477	192847243
MB21D2	ATAC_chr3_192847338_192849614	7.81195	4.34791	0.991592	0.75427	0.03104	0	0.45217	0.10329	0.0001	0.687	2	192848475	192917855	69380	4	192847338	192849614
MB21D2	ATAC_chr3_192849816_192851367	7.81195	3.41407	0.992569	0.75427	0.03104	0	0.39549	0.11571	0.00174	0.687	2	192850591	192917855	67264	4	192849816	192851367
MB21D2	ATAC_chr3_192851722_192854487	7.81195	4.01476	0.994939	0.75427	0.03104	0	0.64483	0.08485	0	0.687	2	192853104	192917855	64751	4	192851722	192854487
MB21D2	ATAC_chr3_192855452_192855868	7.19247	4.59644	0.992124	0.75427	0.03104	0	0.50103	0.09261	2.00E-05	0.687	2	192855659	192917855	62196	4	192855452	192855868
MB21D2	ATAC_chr3_192856219_192856696	7.19247	3.38512	0.989278	0.75427	0.03104	0	0.39768	0.10942	0.00167	0.687	2	192856457	192917855	61398	4	192856219	192856696
MB21D2	ATAC_chr3_192858846_192860230	7.19247	3.99992	0.999311	0.75427	0.03104	0	0.44778	0.09646	0.0001	0.687	2	192859537	192917855	58318	4	192858846	192860230
MB21D2	ATAC_chr3_192861560_192862758	7.19247	5.3422	0.993984	0.75427	0.03104	0	0.627	0.07998	0	0.687	2	192862159	192917855	55696	4	192861560	192862758
MB21D2	ATAC_chr3_192862821_192863286	7.19247	3.46887	0.994524	0.75427	0.03104	0	0.384	0.12868	0.00813	0.687	2	192863053	192917855	54802	4	192862821	192863286
MB21D2	ATAC_chr3_192863611_192866014	7.19247	4.72791	0.999155	0.75427	0.03104	0	0.60552	0.08691	0	0.687	2	192864812	192917855	53043	3	192863611	192866014
MB21D2	ATAC_chr3_192866882_192868417	7.19247	5.56879	0.998086	0.75427	0.03104	0	0.74791	0.06661	0	0.687	2	192867649	192917855	50206	3	192866882	192868417
MB21D2	ATAC_chr3_192869469_192870478	7.19247	3.05778	0.98716	0.75427	0.03104	0	0.28959	0.12065	0.01895	0.687	2	192869973	192917855	47882	3	192869469	192870478
MB21D2	ATAC_chr3_192873549_192873877	6.70568	3.26181	0.982009	0.75427	0.03104	0	0.17597	0.16641	0.1943	0.687	2	192873713	192917855	44142	3	192873549	192873877
MB21D2	ATAC_chr3_192875743_192876687	6.70568	4.19343	0.998635	0.75427	0.03104	0	0.4373	0.09485	1.00E-05	0.687	2	192876215	192917855	41640	3	192875743	192876687
MB21D2	ATAC_chr3_192881236_192882055	6.70568	4.31274	0.999637	0.75427	0.03104	0	0.52315	0.08828	0	0.687	2	192881645	192917855	36210	3	192881236	192882055
MB21D2	ATAC_chr3_192887772_192888331	5.94362	4.39169	0.986167	0.75427	0.03104	0	0.41108	0.09673	0.00016	0.687	2	192888051	192917855	29804	3	192887772	192888331
MB21D2	ATAC_chr3_192888499_192889835	5.94362	3.83613	0.997733	0.75427	0.03104	0	0.42268	0.0998	5.00E-05	0.687	2	192889167	192917855	28688	3	192888499	192889835
MB21D2	ATAC_chr3_192890005_192891015	5.94362	3.57635	0.98538	0.75427	0.03104	0	0.37057	0.12853	0.00456	0.687	2	192890509	192917855	27346	3	192890005	192891015
MB21D2	ATAC_chr3_192891527_192895550	5.94362	4.74857	0.999826	0.75427	0.03104	0	0.77182	0.06582	0	0.687	2	192893538	192917855	24317	3	192891527	192895550
MB21D2	ATAC_chr3_192895833_192897918	5.94362	4.22896	0.994506	0.75427	0.03104	0	0.55403	0.0972	5.00E-05	0.687	2	192896875	192917855	20980	2	192895833	192897918
MB21D2	ATAC_chr3_192898324_192900276	5.94362	4.46751	0.999785	0.75427	0.03104	0	0.79327	0.05597	0	0.687	2	192899299	192917855	18556	2	192898324	192900276
MB21D2	ATAC_chr3_192902233_192903272	5.94362	3.6648	0.976078	0.75427	0.03104	0	0.54028	0.1091	0.0002	0.687	2	192902752	192917855	15103	2	192902233	192903272
MB21D2	ATAC_chr3_192910442_192912109	5.94362	4.63625	0.999896	0.75427	0.03104	0	0.7762	0.05232	0	0.687	2	192911275	192917855	6580	2	192910442	192912109
MB21D2	ATAC_chr3_192912420_192913333	5.94362	3.03655	0.998087	0.75427	0.03104	0	0.58117	0.09046	1.00E-05	0.687	2	192912876	192917855	4979	1	192912420	192913333
MB21D2	ATAC_chr3_192916189_192920648	5.94362	4.13372	0.999713	0.75427	0.03104	0	0.76322	0.06593	0	0.687	2	192918418	192917855	563	1	192916189	192920648
MB21D2	ATAC_chr3_192931662_192932336	25.875	7.88774	0.999456	0.75427	0.03104	0	0.53365	0.10285	8.00E-05	0.687	2	192931999	192917855	14144	2	192931662	192932336
MB21D2	ATAC_chr3_192933714_192934349	25.875	5.4413	0.999951	0.75427	0.03104	0	0.26389	0.12093	0.03394	0.687	2	192934031	192917855	16176	2	192933714	192934349
MB21D2	ATAC_chr3_192958389_192958833	25.875	5.2072	0.999821	0.75427	0.03104	0	0.34913	0.19827	0.1936	0.687	2	192958611	192917855	40756	3	192958389	192958833
MB21D2	ATAC_chr3_192993180_192993866	25.875	5.19456	0.999807	0.75427	0.03104	0	0.55648	0.10668	9.00E-05	0.687	2	192993523	192917855	75668	4	192993180	192993866
ATP13A4	ATAC_chr3_193613994_193614833	20.5162	4.08531	0.998978	0.36256	0.0471	0	0.13051	0.06605	0.02369	0.947	3	193614413	193593110	21303	2	193613994	193614833
FAM43A	ATAC_chr3_195144504_195151336	6.04729	6.97329	0.999315	0.09195	0.03191	0.00086	0.35152	0.0927	0.00035	0.669	2	195147919	194685882	462037	5	195144504	195151336
XXYLT1	ATAC_chr3_195144504_195151336	6.06726	6.97329	0.99937	0.14617	0.04528	1.00E-05	0.35152	0.0927	0.00035	1.111	4	195147919	195271158	123239	5	195144504	195151336
PCYT1A	ATAC_chr3_196270010_196271121	13.1321	11.2172	0.99961	0.24648	0.04041	0	0.51386	0.08697	0	0.858	3	196270565	196287956	17391	2	196270010	196271121
UBXN7	ATAC_chr3_196461534_196463575	7.32654	6.35119	0.999231	0.14194	0.03601	0	0.52262	0.11427	0	0.116	1	196462554	196432429	30125	3	196461534	196463575
PIGX	ATAC_chr3_196717078_196717778	6.957	8.60582	0.999553	0.21136	0.04978	0	0.62154	0.09896	0	1.162	4	196717427	196639774	77653	4	196717078	196717778
FGFRL1	ATAC_chr4_999504_1000258	12.4246	8.18364	0.999921	0.60601	0.05249	0	0.7438	0.08007	2.00E-05	0.73	3	999881	1009935	10054	2	999504	1000258
FGFRL1	ATAC_chr4_1007520_1008065	12.4246	5.58783	0.999921	0.60601	0.05249	0	0.03229	0.09817	0.3988	0.73	3	1007792	1009935	2143	1	1007520	1008065
IDUA	ATAC_chr4_999504_1000258	6.1932	8.18364	0.999885	0.13777	0.04025	0	0.7438	0.08007	2.00E-05	1.166	4	999881	986996	12885	2	999504	1000258
IDUA	ATAC_chr4_1007520_1008065	6.1932	5.58783	0.999891	0.13777	0.04025	0	0.03229	0.09817	0.3988	1.166	4	1007792	986996	20796	2	1007520	1008065
CTBP1	ATAC_chr4_1246149_1250912	4.09436	4.0052	0.994254	0.04597	0.02569	0.02215	0.18863	0.08225	0.01027	0.278	1	1248530	1250332	1802	1	1246149	1250912
FAM53A	ATAC_chr4_1729681_1730098	16.0427	11.6881	0.999132	0.37829	0.05769	0	0.61844	0.07809	0	1.173	4	1729889	1684312	45577	3	1729681	1730098
ZFYVE28	ATAC_chr4_2411823_2413996	7.53184	5.49726	0.999981	0.29297	0.05579	0	0.35655	0.1494	0.01973	0.456	2	2412909	2418650	5741	2	2411823	2413996
RNF4	ATAC_chr4_2494957_2495430	8.39913	13.2918	0.999966	0.20668	0.05322	0	0.68698	0.07378	0	0.49	2	2495193	2462219	32974	3	2494957	2495430
ADD1	ATAC_chr4_2847201_2847935	4.87143	5.08455	0.998435	0.08261	0.02984	1.00E-05	0.16495	0.06839	0.00518	0.296	1	2847567	2843843	3724	1	2847201	2847935
RGS12	ATAC_chr4_3372537_3373461	6.28853	10.9382	0.999735	0.11147	0.03541	0	0.62658	0.09063	0	0.606	2	3372999	3293020	79979	4	3372537	3373461
SLC2A9	ATAC_chr4_10012817_10016050	11.1767	5.29523	0.998559	0.23687	0.05187	0	0.22611	0.08681	0.00065	1.141	4	10014433	10054935	40502	3	10012817	10016050
SLC2A9	ATAC_chr4_10032513_10034054	10.8827	5.34699	0.999612	0.23687	0.05187	0	0.24462	0.08554	5.00E-05	1.141	4	10033283	10054935	21652	2	10032513	10034054
TAPT1	ATAC_chr4_16205053_16207585	4.04439	9.94855	0.993685	0.10899	0.0367	0.00109	0.44476	0.13162	0.00485	0.564	2	16206319	16227409	21090	2	16205053	16207585
TAPT1	ATAC_chr4_16211827_16212780	4.04439	6.25213	0.999331	0.10899	0.0367	0.00109	0.23662	0.13363	0.07886	0.564	2	16212303	16227409	15106	2	16211827	16212780
QDPR	ATAC_chr4_17510472_17513464	7.79284	4.00291	0.999631	0.67975	0.04226	0	0.39647	0.11074	0.00081	1.056	4	17511967	17512205	238	1	17510472	17513464
LAP3	ATAC_chr4_17575812_17580094	9.14424	4.18522	0.995078	0.16732	0.03749	0	0.20922	0.07789	0.00213	0.897	3	17577953	17577197	756	1	17575812	17580094
LAP3	ATAC_chr4_17580242_17580782	9.14424	13.1257	0.993087	0.16732	0.03749	0	0.6097	0.08188	0	0.897	3	17580511	17577197	3314	1	17580242	17580782
LAP3	ATAC_chr4_17654575_17655760	10.2102	4.96207	0.990364	0.16732	0.03749	0	0.28476	0.09253	0.00037	0.897	3	17655167	17577197	77970	4	17654575	17655760
MED28	ATAC_chr4_17580242_17580782	16.0062	13.1257	0.99834	0.24273	0.0385	0	0.6097	0.08188	0	1.397	5	17580511	17614640	34129	3	17580242	17580782
MED28	ATAC_chr4_17654575_17655760	15.8626	4.96207	0.998642	0.24273	0.0385	0	0.28476	0.09253	0.00037	1.397	5	17655167	17614640	40527	3	17654575	17655760
ZCCHC4	ATAC_chr4_25320611_25321407	12.2178	9.79748	0.998868	0.21901	0.0384	0	0.55141	0.09056	0	0.949	3	25321009	25312773	8236	2	25320611	25321407
SEL1L3	ATAC_chr4_25882970_25884860	12.8544	4.44328	0.999937	0.32008	0.04582	0	0.15804	0.11278	0.1368	0.415	1	25883915	25863759	20156	2	25882970	25884860
STIM2	ATAC_chr4_26856815_26862271	12.4537	3.83512	0.988805	0.5683	0.04703	0	0.28873	0.0959	0.00567	0.293	1	26859543	26857600	1943	1	26856815	26862271
STIM2	ATAC_chr4_26873013_26874570	11.2655	6.96798	0.997813	0.5683	0.04703	0	0.63524	0.09275	0	0.293	1	26873791	26857600	16191	2	26873013	26874570
STIM2	ATAC_chr4_26891639_26893201	11.5599	5.42301	0.999007	0.5683	0.04703	0	0.4707	0.09458	7.00E-05	0.293	1	26892419	26857600	34819	3	26891639	26893201
STIM2	ATAC_chr4_26907847_26908643	12.339	3.57699	0.998153	0.5683	0.04703	0	0.18889	0.10422	0.05264	0.293	1	26908245	26857600	50645	3	26907847	26908643
STIM2	ATAC_chr4_26964637_26965363	16.0339	5.4528	0.999992	0.5683	0.04703	0	0.27211	0.08756	0.00196	0.293	1	26964999	26857600	107399	4	26964637	26965363
STIM2	ATAC_chr4_26978535_26979470	16.0339	5.62365	0.999803	0.5683	0.04703	0	0.30126	0.11364	0.01066	0.293	1	26979002	26857600	121402	5	26978535	26979470
STIM2	ATAC_chr4_26985874_26986348	16.398	6.36541	0.999754	0.5683	0.04703	0	0.3797	0.11383	0.0006	0.293	1	26986111	26857600	128511	5	26985874	26986348
STIM2	ATAC_chr4_27000890_27002008	16.398	4.67426	0.99976	0.5683	0.04703	0	0.35202	0.10878	0.00196	0.293	1	27001449	26857600	143849	5	27000890	27002008
STIM2	ATAC_chr4_27003548_27004352	16.398	5.10053	0.999895	0.5683	0.04703	0	0.28046	0.09684	0.0052	0.293	1	27003949	26857600	146349	5	27003548	27004352
RELL1	ATAC_chr4_37652880_37653945	8.4237	11.6938	1	0.11499	0.03247	0.00018	0.85987	0.04952	0	0.3	1	37653412	37686375	32963	3	37652880	37653945
FAM114A1	ATAC_chr4_38803749_38806581	9.31871	11.0121	0.999974	0.22718	0.04775	0	0.65866	0.07767	0	1.485	5	38805165	38867676	62511	4	38803749	38806581
FAM114A1	ATAC_chr4_38818350_38821055	9.53927	4.87464	0.99952	0.22718	0.04775	0	0.10682	0.07395	0.1081	1.485	5	38819702	38867676	47974	3	38818350	38821055
FAM114A1	ATAC_chr4_38855578_38858662	9.53927	6.7981	0.998317	0.22718	0.04775	0	0.5417	0.12841	2.00E-05	1.485	5	38857119	38867676	10557	2	38855578	38858662
TLR10	ATAC_chr4_38803749_38806581	17.6002	11.0121	0.999978	0.56612	0.04635	0	0.65866	0.07767	0	1.015	4	38805165	38782989	22176	2	38803749	38806581
TLR10	ATAC_chr4_38818350_38821055	18.8501	4.87464	0.999533	0.56612	0.04635	0	0.10682	0.07395	0.1081	1.015	4	38819702	38782989	36713	3	38818350	38821055
TLR10	ATAC_chr4_38855578_38858662	18.8501	6.7981	0.999074	0.56612	0.04635	0	0.5417	0.12841	2.00E-05	1.015	4	38857119	38782989	74130	4	38855578	38858662
TLR1	ATAC_chr4_38803749_38806581	21.7263	11.0121	0.999981	0.5404	0.04673	0	0.65866	0.07767	0	1.851	5	38805165	38856816	51651	3	38803749	38806581
TLR1	ATAC_chr4_38818350_38821055	22.201	4.87464	0.999477	0.5404	0.04673	0	0.10682	0.07395	0.1081	1.851	5	38819702	38856816	37114	3	38818350	38821055
TLR1	ATAC_chr4_38855578_38858662	22.201	6.7981	0.998013	0.5404	0.04673	0	0.5417	0.12841	2.00E-05	1.851	5	38857119	38856816	303	1	38855578	38858662
TLR6	ATAC_chr4_38803749_38806581	23.1899	11.0121	0.99998	0.62823	0.04413	0	0.65866	0.07767	0	0.847	3	38805165	38856816	51651	3	38803749	38806581
TLR6	ATAC_chr4_38818350_38821055	24.6095	4.87464	0.999511	0.62823	0.04413	0	0.10682	0.07395	0.1081	0.847	3	38819702	38856816	37114	3	38818350	38821055
TLR6	ATAC_chr4_38855578_38858662	24.6095	6.7981	0.997867	0.62823	0.04413	0	0.5417	0.12841	2.00E-05	0.847	3	38857119	38856816	303	1	38855578	38858662
APBB2	ATAC_chr4_41145275_41146002	6.87396	2.93578	0.995718	0.31691	0.05419	0	0.04476	0.11258	0.3815	0.44	2	41145638	41216713	71075	4	41145275	41146002
APBB2	ATAC_chr4_41188664_41189929	9.85069	5.55902	0.999902	0.31691	0.05419	0	0.2716	0.09994	0.01034	0.44	2	41189296	41216713	27417	3	41188664	41189929
APBB2	ATAC_chr4_41193028_41193705	9.85069	4.43689	0.999805	0.31691	0.05419	0	0.18513	0.09011	0.03431	0.44	2	41193366	41216713	23347	2	41193028	41193705
APBB2	ATAC_chr4_41212373_41213193	9.85069	7.32104	0.99987	0.31691	0.05419	0	0.45175	0.10712	0.00019	0.44	2	41212783	41216713	3930	1	41212373	41213193
APBB2	ATAC_chr4_41213457_41217227	9.85069	9.0971	0.999915	0.31691	0.05419	0	0.52598	0.10538	5.00E-05	0.44	2	41215341	41216713	1372	1	41213457	41217227
UCHL1	ATAC_chr4_41177019_41177362	5.1556	5.74242	0.999928	0.0581	0.03108	0.0414	0.24643	0.09299	0.00729	0.212	1	41177190	41256412	79222	4	41177019	41177362
SHISA3	ATAC_chr4_42312327_42312962	6.64468	8.08596	0.999908	0.13398	0.03857	0	0.45129	0.10264	5.00E-05	1.657	5	42312644	42397487	84843	4	42312327	42312962
SHISA3	ATAC_chr4_42396450_42401636	6.64468	5.81667	0.99995	0.13398	0.03857	0	0.35587	0.11387	0.00155	1.657	5	42399043	42397487	1556	1	42396450	42401636
PAICS	ATAC_chr4_56469681_56470312	6.29952	4.57899	0.998871	0.08588	0.02672	1.00E-05	0.26223	0.10441	0.00483	0.826	3	56469996	56435740	34256	3	56469681	56470312
SRP72	ATAC_chr4_56469681_56470312	11.86	4.57899	0.999646	0.33716	0.04682	0	0.26223	0.10441	0.00483	0.494	2	56469996	56467616	2380	1	56469681	56470312
UBA6	ATAC_chr4_67632551_67632865	18.9701	13.1519	0.998789	0.38716	0.04825	0	0.71404	0.05933	0	0.561	2	67632707	67701154	68447	4	67632551	67632865
GNRHR	ATAC_chr4_67785549_67786407	8.2083	4.68021	0.998984	0.25877	0.05493	0	0.26105	0.13338	0.05181	0.75	3	67785977	67754387	31590	3	67785549	67786407
TMPRSS11D	ATAC_chr4_67785549_67786407	7.6883	4.68021	0.999235	0.24341	0.05497	0	0.26105	0.13338	0.05181	0.916	3	67785977	67884001	98024	4	67785549	67786407
UGT2B15	ATAC_chr4_68533674_68534301	19.4866	12.6259	0.999769	0.00139	0.00655	0.4343	0.11991	0.09075	0.06767	1.733	5	68533987	68670651	136664	5	68533674	68534301
UGT2B15	ATAC_chr4_68547596_68548348	19.4866	14.7559	0.99977	0.00139	0.00655	0.4343	0.07681	0.07849	0.1595	1.733	5	68547971	68670651	122680	5	68547596	68548348
UGT2B15	ATAC_chr4_68552243_68554424	19.4866	20.8918	0.99977	0.00139	0.00655	0.4343	0.21749	0.0992	0.01114	1.733	5	68553333	68670651	117318	5	68552243	68554424
UGT2B15	ATAC_chr4_68560326_68560902	19.4866	7.6708	0.999744	0.00139	0.00655	0.4343	0.08819	0.07558	0.1091	1.733	5	68560613	68670651	110038	4	68560326	68560902
UGT2B15	ATAC_chr4_68566386_68566935	19.4866	16.1854	0.999782	0.00139	0.00655	0.4343	0.12142	0.08122	0.06879	1.733	5	68566660	68670651	103991	4	68566386	68566935
UGT2B15	ATAC_chr4_68568743_68571938	19.6138	16.9407	0.999784	0.00139	0.00655	0.4343	0.06423	0.06638	0.197	1.733	5	68570340	68670651	100311	4	68568743	68571938
UGT2B15	ATAC_chr4_68572724_68574145	19.6138	14.1063	0.999784	0.00139	0.00655	0.4343	0.16438	0.0941	0.03134	1.733	5	68573434	68670651	97217	4	68572724	68574145
UGT2B15	ATAC_chr4_68575018_68578788	19.6138	22.4	0.999792	0.00139	0.00655	0.4343	0.11765	0.07902	0.06628	1.733	5	68576903	68670651	93748	4	68575018	68578788
UGT2B15	ATAC_chr4_68580192_68580826	19.6138	14.5212	0.999787	0.00139	0.00655	0.4343	0.03619	0.05413	0.295	1.733	5	68580509	68670651	90142	4	68580192	68580826
UGT2B15	ATAC_chr4_68581829_68583082	19.6138	15.6499	0.999787	0.00139	0.00655	0.4343	0.11387	0.07404	0.06005	1.733	5	68582455	68670651	88196	4	68581829	68583082
UGT2B15	ATAC_chr4_68592646_68593295	19.6138	15.092	0.99977	0.00139	0.00655	0.4343	0.12339	0.07212	0.02365	1.733	5	68592970	68670651	77681	4	68592646	68593295
UGT2B15	ATAC_chr4_68616964_68617867	19.6138	14.532	1	0.00139	0.00655	0.4343	0.14965	0.08628	0.01483	1.733	5	68617415	68670651	53236	3	68616964	68617867
UGT2B15	ATAC_chr4_68621269_68623392	19.6138	18.8633	1	0.00139	0.00655	0.4343	0.13998	0.10278	0.05568	1.733	5	68622330	68670651	48321	3	68621269	68623392
