IMD	Gene	LCL_mean_TPM	monocyte_mean_TPM	status	LCL	mono_u	mono_s
PBC_Cordell_2021	PPA2	60.378	13.9598	justLCL	38.0899	48.4623	28.8436
SLE_Bentham_2015	BANK1	7.42869	2.62801	justLCL	8.59527	4.76781	1.22966
RA_Ishigaki_2021_EUR	OCIAD2	55.9464	0.533687	justLCL	21.7625	8.06863	27.3781
RA_Ishigaki_2021_EUR	OCIAD1	89.4343	53.3498	justLCL	74.8561	37.6783	32.6772
SLE_Bentham_2015	SCHIP1	0.394102	0.0300861	justLCL	3.32225	1.98618	5.22944
CD_deLange_2017	SFMBT1	11.0214	3.14943	justLCL	12.0192	3.48072	21.2955
PBC_Cordell_2021	IL12A	6.45871	1.00205	justLCL	2.56069	0.343387	0.00853677
MS_Patsopoulos_2019	GOLGB1	49.5201	34.0909	justLCL	116.067	76.8849	124.142
MS_Patsopoulos_2019	EAF2	64.4209	27.7338	justLCL	19.391	82.9759	48.6447
IBD_deLange_2017	SENP7	12.8257	34.4952	justLCL	14.8645	33.7906	81.6983
